seq	wave	priority	lane	storefront_status	handle	title_en	product_url	draft_packet04	translation_mode	source_capture	translation_1to1	completeness_check	import_to_test	visual_qa	notes
1	Wave 01	P0	starter_kits	ACTIVE	candle-business-starter-kit	Candle Business Starter Kit	https://aromawax.eu/products/candle-business-starter-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
2	Wave 01	P0	starter_kits	ACTIVE	home-fragrances-business-starter-kit	Home Fragrances Business Starter Kit	https://aromawax.eu/products/home-fragrances-business-starter-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
3	Wave 01	P0	sample_kits	ACTIVE	all-seasons-classics-fragrance-oils-kit	All-Seasons Classics Fragrance Oils Kit	https://aromawax.eu/products/all-seasons-classics-fragrance-oils-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
4	Wave 01	P0	sample_kits	ACTIVE	autumn-and-holidays-fragrance-oils-2025-kit	Autumn and Holidays Fragrance Oils Kit	https://aromawax.eu/products/autumn-and-holidays-fragrance-oils-2025-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
5	Wave 01	P0	sample_kits	ACTIVE	my-first-collection-fragrance-oils-kit	My First Collection Fragrance Oils Kit	https://aromawax.eu/products/my-first-collection-fragrance-oils-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
6	Wave 01	P0	sample_kits	ACTIVE	simply-delicious-fragrances-kit	Simply Delicious Fragrances Kit	https://aromawax.eu/products/simply-delicious-fragrances-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
7	Wave 01	P0	sample_kits	ACTIVE	summer-2026-fragrance-oils-kit	Summer Fragrance Oils Kit	https://aromawax.eu/products/summer-2026-fragrance-oils-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
8	Wave 01	P0	sample_kits	ACTIVE	winter-fragrances-kit	Winter Fragrance Oils Kit	https://aromawax.eu/products/winter-fragrances-kit	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 01 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-01-1to1-rewrite.md
9	Wave 02	P1	waxes	ACTIVE	ecoolive™-pillar-wax	EcoOlive™ Pillar Wax	https://aromawax.eu/products/ecoolive™-pillar-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
10	Wave 02	P1	waxes	ACTIVE	ecosoya™-cb-advanced-container-wax	EcoSoya™ CB-Advanced Container Wax	https://aromawax.eu/products/ecosoya™-cb-advanced-container-wax	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle characters present; do not touch handle while working on descriptions. Wave 02 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-02-1to1-rewrite.md
